Category,Exercise
Warm-Up,Arm Circles
Warm-Up,Hip Circles
Warm-Up,Leg Swings (Front-to-Back and Side-to-Side)
Warm-Up,March in Place
Warm-Up,Jog in Place
Warm-Up,Shoulder Rolls
Warm-Up,Bodyweight Squats
Warm-Up,Runner’s Lunge with Twist
Warm-Up,Squat to Reach
Warm-Up,Side Reaches
Warm-Up,Toe Touches
Warm-Up,Bird Dogs
Warm-Up,Glute Bridges
Warm-Up,Inchworms
Warm-Up,Carioca
Warm-Up,Squat Matrix
Yoga/Stretching,Child’s Pose
Yoga/Stretching,Cat-Cow
Yoga/Stretching,Thread the Needle
Yoga/Stretching,Downward Facing Dog
Yoga/Stretching,Cobra Pose
Yoga/Stretching,Chair Pose
Yoga/Stretching,Upward Facing Dog
Yoga/Stretching,Low Lunge Twist
Yoga/Stretching,Low Warrior with Hands Behind Back
Yoga/Stretching,Half Split
Yoga/Stretching,Seated Forward Fold
Yoga/Stretching,Reclining Hand-to-Big-Toe Pose
Yoga/Stretching,Toes Squat to Ankle Stretch
Yoga/Stretching,Standing Forward Fold
Yoga/Stretching,Triangle Pose
Yoga/Stretching,Butterfly Stretch
Strength,Barbell Back Squat
Strength,Dumbbell Chest Press
Strength,Barbell Prone Row
Strength,Kettlebell Romanian Deadlift
Strength,Push-Up
Strength,Pull-Up
Strength,Dumbbell Row
Strength,Single-Leg Deadlift
Strength,Hip Lift
Strength,Glute Bridge
Strength,Bulgarian Split Squat
Strength,Leg Press
Strength,Leg Extension
Strength,Wall Sit
Strength,Deadlift
Strength,Stiff-Legged Deadlift
Strength,Leg Curl
Strength,Standing Calf Raise
Strength,Seated Calf Raise
Strength,Bench Press
Strength,Incline Bench Press
Strength,Decline Bench Press
Strength,Chest Fly
Strength,Cable Crossover
Strength,Dips
Strength,Lat Pulldown
Strength,Chin-Up
Strength,Bent-Over Row
Strength,Cable Row
Strength,Upright Row
Strength,Shoulder Press
Strength,Military Press
Strength,Arnold Press
Strength,Lateral Raise
Strength,Front Raise
Strength,Triceps Pushdown
Strength,Triceps Extension
Strength,Preacher Curl
Strength,Barbell Curl
Strength,Hammer Curl
Strength,Zottman Curl
Strength,Crunch
Strength,Reverse Crunch
Strength,Russian Twist
Strength,Leg Raise
Strength,Plank
Strength,Back Extension
Cardio,Jump Rope
Cardio,Dancing
Cardio,Power Walking
Cardio,Swimming
Cardio,Boxing
Cardio,Jogging in Place
Cardio,Air Jump Rope
Cardio,Jumping Jacks
Cardio,Squat to Front Kick
Cardio,Stair Climb
Cardio,Lateral Shuffles
Cardio,Mountain Climbers
Cardio,Burpees
Cardio,High Knees
Cardio,Sled Push
Cardio,Cycling Sprints
Cardio,Rowing Machine
Cardio,Explosive Circuits
Cardio,HIIT
Cardio,Step Mill

